,Abandono do veículo,Aceleração brusca,Acidente,Agressão física,Agressão verbal,Apropriação indevida,Avaria,Banguela,Bebidas,Checklist Irregular,Cinto de segurança,Comportamento,Conduta Motorista,Consumo médio,Cuidado com equipamento/carga,Cumprimento de normas,Desistência de contratos,Desvio de rota,Dia agenciado,Distração ao volante,Distância Perigosa,Extravio de bens,Extravio de carga,Fadiga na direção,Frenagem brusca,Fumar ao volante,Imprudência,Não comparecimento em contrato,Não retorna contato com a PX,Não retorna contato com cliente,Outros,Parada não autorizada,Pontualidade,Prisão,Problema de saúde,Relacionadas ao Motorista,Relacionadas ao Transportador,Reprovado na Brasil Risk,Reprovado na GR,Risco de tombamento,Sinistro,Substâncias ilícitas,Uso do celular,Veículo,Dias decorridos,Pontuação
Abandono do veículo,1.0,-0.00045491396427700513,,-0.00064339721179105,-0.0014396059916068776,-0.0009100473845399653,-0.0007880607868929706,,-0.002663781588693186,-0.003476767404821528,,,,-0.0004549139642770048,0.07188744996022287,0.12374701012906203,0.04942155685736813,-0.0013656202465134818,-0.024730557216133413,0.13258772411021075,-0.0014346252809092383,-0.0006433972117910485,-0.0004549139642770017,-0.0011147551600898028,-0.0022789700895406834,-0.0012874155133569389,-0.0019326789967599907,0.031112424015386567,0.04664375783803652,0.0724246327909804,,-0.001365620246513468,-0.0010175457331689573,-0.0007880607868929693,,,,,-0.0015772632773574493,-0.00045491396427700036,0.018597427560345926,-0.0015282191958332471,0.06437847734552833,,-0.023661637663090974,-0.0010615317386623527
Aceleração brusca,-0.00045491396427700513,1.0,,-0.00022734724972937873,-0.0005086911427151942,-0.00032156926733118606,-0.00027846476365812114,,-0.0009412590029467389,-0.0012285311358974818,,,,-0.00016074586079408839,-0.0007049048094490598,-0.0013524174194366233,-0.002783718965570584,-0.0004825479525398144,-0.026230336142184858,-0.00042549881296242883,-0.0005069311865667178,-0.00022734724972937778,-0.0001607458607940829,-0.0003939036649887707,0.09940427648575381,-0.0004549139642770024,-0.0006829206693326734,-0.00306745221982067,-0.0020356692318847505,-0.0013692743481185886,,-0.00048254795253981374,-0.0003595542841502975,-0.00027846476365811886,,,,,-0.0005573329533215625,-0.00016074586079408294,-0.0020219948497427124,-0.0005400030102542082,-0.0014080259735838397,,-0.02141116713133364,-0.015185656395073585
Acidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agressão física,-0.00064339721179105,-0.00022734724972937873,,1.0,0.22310322502888305,-0.00045480417451549993,-0.00039384030077958246,,-0.0013312482482959983,-0.0017375450513838684,,,,-0.0002273472497293789,-0.0009969660740101174,-0.0019127607969258273,-0.00393708956308798,-0.0006824807141566262,-0.00030451386208063595,-0.000601794562001457,-0.0007169665862539958,-0.00032154340836012835,-0.00022734724972937816,-0.0005571086835525897,-0.0011389353213107772,-0.0006433972117910478,-0.0009658733057830821,-0.004338381233628459,0.0495003578682259,-0.001936602010353018,,-0.0006824807141566356,-0.000508527418536141,-0.0003938403007795817,,,,,-0.0007882511779480498,-0.00022734724972937832,-0.00285976239627621,-0.0007637409673904254,-0.0019914094898647464,,-0.0018585414272711852,0.0032614406523658154
Agressão verbal,-0.0014396059916068776,-0.0005086911427151942,,0.22310322502888305,1.0,-0.00101762768417617,0.18188392533606393,,-0.0029786777428334197,-0.003887769826816489,,,,-0.0005086911427151948,0.06386229594523612,0.1098445435226314,-0.008809266842696692,0.10404338926870793,-0.005794249764705901,-0.0013465197568420524,-0.0016042180078461043,-0.000719455740176982,-0.0005086911427151892,-0.00124653477528434,-0.002548376154828879,-0.001439605991606869,-0.0021611486227423042,0.025890845359772267,0.016997872616338276,0.029794597257938937,,-0.0015270556154898406,-0.0011378338376429938,-0.000881220568488682,,,,,-0.0017637178058423292,-0.0005086911427151902,0.015356974527598597,0.08008055978343762,0.036314716000677295,,-0.018280647587555633,0.0053737352851464205
Apropriação indevida,-0.0009100473845399653,-0.00032156926733118606,,-0.00045480417451549993,-0.00101762768417617,1.0,-0.000557063862078553,,0.07947711323511236,-0.0024576549300399787,,,,-0.0003215692673311866,-0.0014101496734844968,-0.0027054872613564303,-0.005568780830762167,-0.0009653286920349854,-0.0009785338255899247,-0.0008512028916868532,-0.0010141069228551377,0.3532691425549131,-0.0003215692673311864,-0.0007879973538588937,-0.0016109567951557672,-0.0009100473845399679,-0.0013661707878372524,-0.006136384215608092,0.032971507167050884,0.05119547416035033,,-0.0009653286920349901,-0.000719282021626124,-0.0005570638620785506,,,,,0.14340848489226168,-0.00032156926733118693,0.030337238506507356,-0.0010802665244769554,-0.0028167311958884203,,-0.010824200638150887,0.07716364104081236
Avaria,-0.0007880607868929706,-0.00027846476365812114,,-0.00039384030077958246,0.18188392533606393,-0.000557063862078553,1.0,,-0.001630570544720899,-0.0021282204761873522,,,,-0.0002784647636581211,0.11937972605310544,0.06707194225727453,-0.004822317912317678,0.19179994284554366,-0.035872810674088255,-0.000737104058562202,-0.0008781717448952634,-0.0003938403007795827,-0.0002784647636581199,-0.0006823708581565059,-0.0013950173377870738,-0.0007880607868929722,-0.0011830434814528493,-0.005313837340540546,-0.0035264494447483597,-0.0023720340657505785,,-0.0008359319542905065,-0.000622866419474619,-0.0004823926676314529,,,,,-0.0009654842019501814,-0.00027846476365811897,0.07589315309282442,-0.0009354630338988269,-0.002439164641761936,,-0.026676517276880928,-0.0158128656165946
Banguela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bebidas,-0.002663781588693186,-0.0009412590029467389,,-0.0013312482482959983,-0.0029786777428334197,0.07947711323511236,-0.001630570544720899,,1.0,-0.007193752836629379,,,,-0.0009412590029467394,-0.004127621046269526,0.08984495903893647,0.006411999257041564,0.051436283312240726,-0.02705043313970302,-0.0024915390447103267,-0.002968372192436294,-0.0013312482482959976,-0.0009412590029467295,-0.0023065313727695146,0.011584164958147736,-0.002663781588693177,-0.003998891325302748,0.006434213098318569,0.012175602998767783,-0.008017884885519104,,0.05143628331224055,-0.0021053960912752207,-0.0016305705447208978,,,,,-0.003263503379566448,-0.0009412590029467345,0.04407087641242226,0.24907040655518478,0.0022329660785574755,,-0.03049309209572738,0.8085048687487547
Checklist Irregular,-0.003476767404821528,-0.0012285311358974818,,-0.0017375450513838684,-0.003887769826816489,-0.0024576549300399787,-0.0021282204761873522,,-0.007193752836629379,1.0,,,,-0.001228531135897483,-0.005387370486393914,0.060335622667235356,0.04680586917107499,-0.0036879654712735984,-0.026373860739028563,-0.00325195645741316,-0.0038743190236944706,-0.0017375450513838653,-0.0012285311358974742,-0.0030104844665502116,-0.006154538951622357,-0.003476767404821538,0.022536896307574585,0.25872132565405537,0.1237878774773293,0.05293610091407655,,-0.0036879654712735797,-0.0027479627216641985,-0.00212822047618735,,,,,0.02971837277949044,-0.0012285311358974764,0.008796598732231896,0.02626188392111012,0.04225804773922009,,-0.04108947544783806,0.006466640576959596
Cinto de segurança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comportamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conduta Motorista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumo médio,-0.0004549139642770048,-0.00016074586079408839,,-0.0002273472497293789,-0.0005086911427151948,-0.0003215692673311866,-0.0002784647636581211,,-0.0009412590029467394,-0.001228531135897483,,,,1.0,-0.0007049048094490573,-0.0013524174194366188,-0.002783718965570589,-0.00048254795253981357,0.0032077237048281242,-0.00042549881296242965,-0.0005069311865667185,-0.00022734724972937791,-0.00016074586079408286,-0.0003939036649887703,-0.000805284158180117,-0.0004549139642770027,-0.0006829206693326721,-0.003067452219820669,-0.0020356692318847483,-0.001369274348118592,,-0.00048254795253981287,-0.00035955428415029747,-0.00027846476365811913,,,,,-0.0005573329533215635,-0.000160745860794083,-0.00202199484974271,-0.0005400030102542092,-0.001408025973583839,,-0.005848808604860796,0.0006643663392568361
Cuidado com equipamento/carga,0.07188744996022287,-0.0007049048094490598,,-0.0009969660740101174,0.06386229594523612,-0.0014101496734844968,0.11937972605310544,,-0.004127621046269526,-0.005387370486393914,,,,-0.0007049048094490573,1.0,0.16978569947287395,0.011897150970682028,0.27653411625816354,-0.059185742868470545,-0.0018659028493200158,-0.0022230011379785674,-0.0009969660740101105,-0.0007049048094490431,-0.0017273514013893237,-0.0035313424138581893,0.07188744996022285,-0.00299475247391556,-0.005621437119827711,0.037474841379078055,-0.00600455942489521,,0.2068715683267369,-0.0015767220561917121,-0.0012211272513956166,,,,,-0.0024440236116815245,0.20814832016159862,0.13469209513593794,-0.0023680281231799353,0.0341802321499316,,-0.06064201288521235,-0.023322474013296596
Cumprimento de normas,0.12374701012906203,-0.0013524174194366233,,-0.0019127607969258273,0.1098445435226314,-0.0027054872613564303,0.06707194225727453,,0.08984495903893647,0.060335622667235356,,,,-0.0013524174194366188,0.16978569947287395,1.0,0.07414398056855866,0.2365160492461415,-0.06141774679349515,-0.003579886933058558,-0.004265009150355291,-0.0019127607969258178,-0.0013524174194366112,0.04578143622737242,0.00526914547843376,0.08122221740714539,0.0793724249107951,0.04179350116019498,0.07189854231708527,0.05328891015629704,,0.1964200637845994,0.05075203112595585,-0.002342832314375859,,,,,-0.0046890588085729415,-0.0013524174194366136,0.06561705376686584,0.15077616358189713,0.04235041492406869,,-0.07141846003728605,0.0642716949679466
Desistência de contratos,0.04942155685736813,-0.002783718965570584,,-0.00393708956308798,-0.008809266842696692,-0.005568780830762167,-0.004822317912317678,,0.006411999257041564,0.04680586917107499,,,,-0.002783718965570589,0.011897150970682028,0.07414398056855866,1.0,0.037597356429563016,0.05289830398540049,-0.007368582367346871,0.03696919414393553,-0.003937089563087984,-0.0027837189655705754,-0.006821432896749019,4.497104495330682e-05,-0.007877979711608215,-0.0008407236008048891,0.14406306641352618,0.07836101475533558,0.0690341559404082,,0.014620412346389793,-0.006226586955315033,-0.004822317912317689,,,,,0.0172448955774468,-0.002783718965570579,0.009519002548727309,0.0026762676504186555,0.014468127011667982,,-0.01759107687148929,0.06509428494590751
Desvio de rota,-0.0013656202465134818,-0.0004825479525398144,,-0.0006824807141566262,0.10404338926870793,-0.0009653286920349854,0.19179994284554366,,0.051436283312240726,-0.0036879654712735984,,,,-0.00048254795253981357,0.27653411625816354,0.2365160492461415,0.037597356429563016,1.0,-0.02160876299074436,-0.0012773179974205277,-0.0015217723488986387,-0.0006824807141566252,-0.0004825479525398037,-0.0011824715491850183,-0.0024174073274604805,-0.0013656202465134552,0.0766882002197435,-0.009208279335318603,-0.0061109381917622985,-0.004110466856725597,,0.4436396802403571,-0.0010793570844471042,-0.0008359319542904995,,,,,-0.0016730749655370527,-0.00048254795253980327,0.06272218264086937,-0.0016210516754599634,0.017259419267286608,,-0.03292383667912554,0.04097662659944418
Dia agenciado,-0.024730557216133413,-0.026230336142184858,,-0.00030451386208063595,-0.005794249764705901,-0.0009785338255899247,-0.035872810674088255,,-0.02705043313970302,-0.026373860739028563,,,,0.0032077237048281242,-0.059185742868470545,-0.06141774679349515,0.05289830398540049,-0.02160876299074436,1.0,-0.04473512928452659,-0.03419726108883186,0.0002764403232829749,-0.001721439804439143,-0.02681015649523934,-0.10894803729860808,-0.05243607273139046,-0.06958797053641497,0.09785792138749239,0.021903671218279533,0.006374564175406539,,-0.017818171481414274,-0.0007266057314917627,-0.0019542659125795767,,,,,-0.01289165094287072,-0.02034272417278231,-0.12498280311333525,-0.00900270602842435,-0.11043484768871682,,0.820029798296614,0.5562085458772388
Distração ao volante,0.13258772411021075,-0.00042549881296242883,,-0.000601794562001457,-0.0013465197568420524,-0.0008512028916868532,-0.000737104058562202,,-0.0024915390447103267,-0.00325195645741316,,,,-0.00042549881296242965,-0.0018659028493200158,-0.003579886933058558,-0.007368582367346871,-0.0012773179974205277,-0.04473512928452659,1.0,0.048354923334500075,-0.0006017945620014546,-0.00042549881296242173,0.30788675929881437,-0.002131609807620616,-0.0012041700535471572,0.08745874170169662,0.006059529105330375,0.050630044776467285,0.03715611959410193,,-0.0012773179974205349,-0.000951750299172478,-0.0007371040585621904,,,,,-0.0014752759971029727,-0.0004254988129624225,0.04664127288701172,-0.0014294031505647363,0.21550534090713577,,-0.03870960919639498,-0.015322318982345602
Distância Perigosa,-0.0014346252809092383,-0.0005069311865667178,,-0.0007169665862539958,-0.0016042180078461043,-0.0010141069228551377,-0.0008781717448952634,,-0.002968372192436294,-0.0038743190236944706,,,,-0.0005069311865667185,-0.0022230011379785674,-0.004265009150355291,0.03696919414393553,-0.0015217723488986387,-0.03419726108883186,0.048354923334500075,1.0,-0.0007169665862539908,-0.0005069311865667127,-0.0012422220472695798,-0.0025395593504741274,-0.00143462528090924,0.059884033596932236,-0.009673575330952651,-0.00641972498749824,-0.004318169479438765,,-0.0015217723488986314,-0.0011338971902545244,-0.0008781717448952615,,,,,-0.0017576157416703472,-0.0005069311865667155,0.020723953891453185,-0.0017029637054756463,0.15638453938545135,,-0.027261032094379026,-0.011220592368337272
Extravio de bens,-0.0006433972117910485,-0.00022734724972937778,,-0.00032154340836012835,-0.000719455740176982,0.3532691425549131,-0.0003938403007795827,,-0.0013312482482959976,-0.0017375450513838653,,,,-0.00022734724972937791,-0.0009969660740101105,-0.0019127607969258178,-0.003937089563087984,-0.0006824807141566252,0.0002764403232829749,-0.0006017945620014546,-0.0007169665862539908,1.0,0.707049946658368,-0.0005571086835525858,-0.001138935321310778,-0.0006433972117910469,-0.0009658733057830766,-0.004338381233628453,-0.0028791024474376196,-0.0019366020103530166,,-0.0006824807141566318,-0.0005085274185361408,-0.00039384030077958164,,,,,-0.0007882511779480456,-0.00022734724972937837,0.04575619834041937,-0.0007637409673904215,-0.0019914094898647464,,-0.006158560592488667,0.00919776951973985
Extravio de carga,-0.0004549139642770017,-0.0001607458607940829,,-0.00022734724972937816,-0.0005086911427151892,-0.0003215692673311864,-0.0002784647636581199,,-0.0009412590029467295,-0.0012285311358974742,,,,-0.00016074586079408286,-0.0007049048094490431,-0.0013524174194366112,-0.0027837189655705754,-0.0004825479525398037,-0.001721439804439143,-0.00042549881296242173,-0.0005069311865667127,0.707049946658368,1.0,-0.00039390366498876715,-0.000805284158180116,-0.00045491396427700106,-0.0006829206693326601,-0.0030674522198206604,-0.0020356692318847405,-0.0013692743481185877,,-0.0004825479525398086,-0.0003595542841502953,-0.00027846476365811853,,,,,-0.000557332953321558,-0.0001607458607940835,-0.0020219948497427,-0.000540003010254207,-0.0014080259735838368,,-0.0013140816170144323,0.0030587162231403
Fadiga na direção,-0.0011147551600898028,-0.0003939036649887707,,-0.0005571086835525897,-0.00124653477528434,-0.0007879973538588937,-0.0006823708581565059,,-0.0023065313727695146,-0.0030104844665502116,,,,-0.0003939036649887703,-0.0017273514013893237,0.04578143622737242,-0.006821432896749019,-0.0011824715491850183,-0.02681015649523934,0.30788675929881437,-0.0012422220472695798,-0.0005571086835525858,-0.00039390366498876715,1.0,-0.001973328455846745,0.07113531365323131,-0.0016734798222351895,0.02311131139581378,0.11601574042983814,0.08473376498510965,,-0.0011824715491850206,0.09048678008160459,-0.0006823708581565082,,,,,-0.0013657303015323363,-0.0003939036649887696,0.051200087966998785,-0.0013232637144951719,0.12809357643044336,,-0.02573923382706609,-0.003593702920416328
Frenagem brusca,-0.0022789700895406834,0.09940427648575381,,-0.0011389353213107772,-0.002548376154828879,-0.0016109567951557672,-0.0013950173377870738,,0.011584164958147736,-0.006154538951622357,,,,-0.000805284158180117,-0.0035313424138581893,0.00526914547843376,4.497104495330682e-05,-0.0024174073274604805,-0.10894803729860808,-0.002131609807620616,-0.0025395593504741274,-0.001138935321310778,-0.000805284158180116,-0.001973328455846745,1.0,-0.0022789700895406765,0.02023074961162908,-0.015366931791545791,0.012065887602834542,0.014750780148284633,,-0.002417407327460475,-0.0018012492987482345,-0.0013950173377870643,,,,,-0.002792055707838867,-0.0008052841581801172,-0.00324145039853768,-0.0027052383643293002,0.005854611959166476,,-0.07775084507858926,-0.047396561756273464
Fumar ao volante,-0.0012874155133569389,-0.0004549139642770024,,-0.0006433972117910478,-0.001439605991606869,-0.0009100473845399679,-0.0007880607868929722,,-0.002663781588693177,-0.003476767404821538,,,,-0.0004549139642770027,0.07188744996022285,0.08122221740714539,-0.007877979711608215,-0.0013656202465134552,-0.05243607273139046,-0.0012041700535471572,-0.00143462528090924,-0.0006433972117910469,-0.00045491396427700106,0.07113531365323131,-0.0022789700895406765,1.0,0.081575159321578,-0.008680950431043822,0.020441386831512105,-0.0038750734781493267,,-0.0013656202465134758,-0.0010175457331689586,0.20351669821511068,,,,,-0.0015772632773574534,-0.00045491396427700204,0.0672368534874048,0.0899004330779596,0.041590737782217585,,-0.04506273553140311,-0.02051733758875278
Imprudência,-0.0019326789967599907,-0.0006829206693326734,,-0.0009658733057830821,-0.0021611486227423042,-0.0013661707878372524,-0.0011830434814528493,,-0.003998891325302748,0.022536896307574585,,,,-0.0006829206693326721,-0.00299475247391556,0.0793724249107951,-0.0008407236008048891,0.0766882002197435,-0.06958797053641497,0.08745874170169662,0.059884033596932236,-0.0009658733057830766,-0.0006829206693326601,-0.0016734798222351895,0.02023074961162908,0.081575159321578,1.0,-0.01303191580024202,0.00883388198510331,0.019636431721881432,,0.0766882002197431,-0.001527548212939039,-0.0011830434814528396,,,,,-0.00236780089790981,-0.0006829206693326631,0.0887668774173792,0.05870736305662905,0.05483433285748205,,-0.05099795807697757,-0.03006139789631349
Não comparecimento em contrato,0.031112424015386567,-0.00306745221982067,,-0.004338381233628459,0.025890845359772267,-0.006136384215608092,-0.005313837340540546,,0.006434213098318569,0.25872132565405537,,,,-0.003067452219820669,-0.005621437119827711,0.04179350116019498,0.14406306641352618,-0.009208279335318603,0.09785792138749239,0.006059529105330375,-0.009673575330952651,-0.004338381233628453,-0.0030674522198206604,0.02311131139581378,-0.015366931791545791,-0.008680950431043822,-0.01303191580024202,1.0,0.4498897283311889,0.273059458409883,,0.003298578124701496,0.00991307333492847,-0.005313837340540551,,,,,0.00019849910512818303,-0.003067452219820665,-0.015388500700423687,-0.0006151345914386788,0.00935658001145299,,0.004339263671791797,0.13945340981457346
Não retorna contato com a PX,0.04664375783803652,-0.0020356692318847505,,0.0495003578682259,0.016997872616338276,0.032971507167050884,-0.0035264494447483597,,0.012175602998767783,0.1237878774773293,,,,-0.0020356692318847483,0.037474841379078055,0.07189854231708527,0.07836101475533558,-0.0061109381917622985,0.021903671218279533,0.050630044776467285,-0.00641972498749824,-0.0028791024474376196,-0.0020356692318847405,0.11601574042983814,0.012065887602834542,0.020441386831512105,0.00883388198510331,0.4498897283311889,1.0,0.6455516576355397,,0.04330070239192184,-0.004553358884772239,-0.003526449444748342,,,,,0.01434302761871463,-0.0020356692318847427,0.01003289232312111,0.012301994715597198,0.048957312164714106,,-0.01608421964764461,0.07616794465473149
Não retorna contato com cliente,0.0724246327909804,-0.0013692743481185886,,-0.001936602010353018,0.029794597257938937,0.05119547416035033,-0.0023720340657505785,,-0.008017884885519104,0.05293610091407655,,,,-0.001369274348118592,-0.00600455942489521,0.05328891015629704,0.0690341559404082,-0.004110466856725597,0.006374564175406539,0.03715611959410193,-0.004318169479438765,-0.0019366020103530166,-0.0013692743481185877,0.08473376498510965,0.014750780148284633,-0.0038750734781493267,0.019636431721881432,0.273059458409883,0.6455516576355397,1.0,,-0.004110466856725578,-0.0030627753374863897,-0.002372034065750579,,,,,0.026411750371364836,-0.0013692743481185886,0.005014544195696806,-0.004599883730723848,0.05746456616637921,,-0.022273107936333983,0.03598609332552354
Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parada não autorizada,-0.001365620246513468,-0.00048254795253981374,,-0.0006824807141566356,-0.0015270556154898406,-0.0009653286920349901,-0.0008359319542905065,,0.05143628331224055,-0.0036879654712735797,,,,-0.00048254795253981287,0.2068715683267369,0.1964200637845994,0.014620412346389793,0.4436396802403571,-0.017818171481414274,-0.0012773179974205349,-0.0015217723488986314,-0.0006824807141566318,-0.0004825479525398086,-0.0011824715491850206,-0.002417407327460475,-0.0013656202465134758,0.0766882002197431,0.003298578124701496,0.04330070239192184,-0.004110466856725578,,1.0,-0.0010793570844471044,-0.0008359319542905027,,,,,-0.0016730749655370569,-0.0004825479525398109,-0.00606988864266475,-0.0016210516754599678,0.06023185091236751,,-0.02762991686214869,0.04048405821130525
Pontualidade,-0.0010175457331689573,-0.0003595542841502975,,-0.000508527418536141,-0.0011378338376429938,-0.000719282021626124,-0.000622866419474619,,-0.0021053960912752207,-0.0027479627216641985,,,,-0.00035955428415029747,-0.0015767220561917121,0.05075203112595585,-0.006226586955315033,-0.0010793570844471042,-0.0007266057314917627,-0.000951750299172478,-0.0011338971902545244,-0.0005085274185361408,-0.0003595542841502953,0.09048678008160459,-0.0018012492987482345,-0.0010175457331689586,-0.001527548212939039,0.00991307333492847,-0.004553358884772239,-0.0030627753374863897,,-0.0010793570844471044,1.0,-0.0006228664194746185,,,,,-0.001246635217074778,-0.0003595542841502954,-0.004522772201805772,-0.0012078718222155553,-0.003149454477372088,,0.0028238718352637453,0.0006361972854791089
Prisão,-0.0007880607868929693,-0.00027846476365811886,,-0.0003938403007795817,-0.000881220568488682,-0.0005570638620785506,-0.0004823926676314529,,-0.0016305705447208978,-0.00212822047618735,,,,-0.00027846476365811913,-0.0012211272513956166,-0.002342832314375859,-0.004822317912317689,-0.0008359319542904995,-0.0019542659125795767,-0.0007371040585621904,-0.0008781717448952615,-0.00039384030077958164,-0.00027846476365811853,-0.0006823708581565082,-0.0013950173377870643,0.20351669821511068,-0.0011830434814528396,-0.005313837340540551,-0.003526449444748342,-0.002372034065750579,,-0.0008359319542905027,-0.0006228664194746185,1.0,,,,,0.16590236870177197,-0.0002784647636581188,-0.0035027609119765196,-0.0009354630338988238,-0.002439164641761944,,0.0056387307510948025,0.00767065062511723
Problema de saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relacionadas ao Motorista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relacionadas ao Transportador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprovado na Brasil Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprovado na GR,-0.0015772632773574493,-0.0005573329533215625,,-0.0007882511779480498,-0.0017637178058423292,0.14340848489226168,-0.0009654842019501814,,-0.003263503379566448,0.02971837277949044,,,,-0.0005573329533215635,-0.0024440236116815245,-0.0046890588085729415,0.0172448955774468,-0.0016730749655370527,-0.01289165094287072,-0.0014752759971029727,-0.0017576157416703472,-0.0007882511779480456,-0.000557332953321558,-0.0013657303015323363,-0.002792055707838867,-0.0015772632773574534,-0.00236780089790981,0.00019849910512818303,0.01434302761871463,0.026411750371364836,,-0.0016730749655370569,-0.001246635217074778,0.16590236870177197,,,,,1.0,-0.00055733295332156,-0.007010596451075524,-0.0018722813204692542,-0.004881863024866324,,-0.02215480320702273,-0.004475767286935125
Risco de tombamento,-0.00045491396427700036,-0.00016074586079408294,,-0.00022734724972937832,-0.0005086911427151902,-0.00032156926733118693,-0.00027846476365811897,,-0.0009412590029467345,-0.0012285311358974764,,,,-0.000160745860794083,0.20814832016159862,-0.0013524174194366136,-0.002783718965570579,-0.00048254795253980327,-0.02034272417278231,-0.0004254988129624225,-0.0005069311865667155,-0.00022734724972937837,-0.0001607458607940835,-0.0003939036649887696,-0.0008052841581801172,-0.00045491396427700204,-0.0006829206693326631,-0.003067452219820665,-0.0020356692318847427,-0.0013692743481185886,,-0.0004825479525398109,-0.0003595542841502954,-0.0002784647636581188,,,,,-0.00055733295332156,1.0,-0.002021994849742701,-0.0005400030102542083,-0.0014080259735838316,,-0.008734543960763022,-0.010289425943898737
Sinistro,0.018597427560345926,-0.0020219948497427124,,-0.00285976239627621,0.015356974527598597,0.030337238506507356,0.07589315309282442,,0.04407087641242226,0.008796598732231896,,,,-0.00202199484974271,0.13469209513593794,0.06561705376686584,0.009519002548727309,0.06272218264086937,-0.12498280311333525,0.04664127288701172,0.020723953891453185,0.04575619834041937,-0.0020219948497427,0.051200087966998785,-0.00324145039853768,0.0672368534874048,0.0887668774173792,-0.015388500700423687,0.01003289232312111,0.005014544195696806,,-0.00606988864266475,-0.004522772201805772,-0.0035027609119765196,,,,,-0.007010596451075524,-0.002021994849742701,1.0,0.010972671301863222,0.03099480877731982,,-0.12385445141482851,0.004068511717452241
Substâncias ilícitas,-0.0015282191958332471,-0.0005400030102542082,,-0.0007637409673904254,0.08008055978343762,-0.0010802665244769554,-0.0009354630338988269,,0.24907040655518478,0.02626188392111012,,,,-0.0005400030102542092,-0.0023680281231799353,0.15077616358189713,0.0026762676504186555,-0.0016210516754599634,-0.00900270602842435,-0.0014294031505647363,-0.0017029637054756463,-0.0007637409673904215,-0.000540003010254207,-0.0013232637144951719,-0.0027052383643293002,0.0899004330779596,0.05870736305662905,-0.0006151345914386788,0.012301994715597198,-0.004599883730723848,,-0.0016210516754599678,-0.0012078718222155553,-0.0009354630338988238,,,,,-0.0018722813204692542,-0.0005400030102542083,0.010972671301863222,1.0,0.011916123630575688,,-0.01597296492409849,0.22123791510707386
Uso do celular,0.06437847734552833,-0.0014080259735838397,,-0.0019914094898647464,0.036314716000677295,-0.0028167311958884203,-0.002439164641761936,,0.0022329660785574755,0.04225804773922009,,,,-0.001408025973583839,0.0341802321499316,0.04235041492406869,0.014468127011667982,0.017259419267286608,-0.11043484768871682,0.21550534090713577,0.15638453938545135,-0.0019914094898647464,-0.0014080259735838368,0.12809357643044336,0.005854611959166476,0.041590737782217585,0.05483433285748205,0.00935658001145299,0.048957312164714106,0.05746456616637921,,0.06023185091236751,-0.003149454477372088,-0.002439164641761944,,,,,-0.004881863024866324,-0.0014080259735838316,0.03099480877731982,0.011916123630575688,1.0,,-0.10096939518675284,-0.0347297107531666
Veículo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dias decorridos,-0.023661637663090974,-0.02141116713133364,,-0.0018585414272711852,-0.018280647587555633,-0.010824200638150887,-0.026676517276880928,,-0.03049309209572738,-0.04108947544783806,,,,-0.005848808604860796,-0.06064201288521235,-0.07141846003728605,-0.01759107687148929,-0.03292383667912554,0.820029798296614,-0.03870960919639498,-0.027261032094379026,-0.006158560592488667,-0.0013140816170144323,-0.02573923382706609,-0.07775084507858926,-0.04506273553140311,-0.05099795807697757,0.004339263671791797,-0.01608421964764461,-0.022273107936333983,,-0.02762991686214869,0.0028238718352637453,0.0056387307510948025,,,,,-0.02215480320702273,-0.008734543960763022,-0.12385445141482851,-0.01597296492409849,-0.10096939518675284,,1.0,0.46314154844741007
Pontuação,-0.0010615317386623527,-0.015185656395073585,,0.0032614406523658154,0.0053737352851464205,0.07716364104081236,-0.0158128656165946,,0.8085048687487547,0.006466640576959596,,,,0.0006643663392568361,-0.023322474013296596,0.0642716949679466,0.06509428494590751,0.04097662659944418,0.5562085458772388,-0.015322318982345602,-0.011220592368337272,0.00919776951973985,0.0030587162231403,-0.003593702920416328,-0.047396561756273464,-0.02051733758875278,-0.03006139789631349,0.13945340981457346,0.07616794465473149,0.03598609332552354,,0.04048405821130525,0.0006361972854791089,0.00767065062511723,,,,,-0.004475767286935125,-0.010289425943898737,0.004068511717452241,0.22123791510707386,-0.0347297107531666,,0.46314154844741007,1.0
